This supplement lists certain entities or addresses subject to license requirements and other Entity List restrictions for specified items under this part 744 and part 746 of the EAR. License requirements for these entities include exports, reexports, and transfers (in-country) unless otherwise stated. A license is required, to the extent specified on the Entity List, to export, reexport, or transfer (in-country) any item subject to the EAR when an entity or a party to the transaction is operating at an address that is listed on the Entity List under an address entry is a party to the transaction as described in § 748.5(c) through (f) of the EAR. The Entity List license requirements and other Entity List restrictions also apply to any foreign entity that is owned, directly or indirectly, individually or in aggregate, 50 percent or more by one or more listed entities or entities that are subject to restrictions based upon their ownership. An entity owned 50 percent or more, directly or indirectly, by multiple entities subject to EAR license requirements pursuant to some combination of the Entity List, MEU List, or SDN List designated under programs listed in § 744.8(a)(1), is subject to the most restrictive license requirements, license exception eligibility, and license review policy applicable to one or more of its owners under the EAR. If an exporter, reexporter, or transferor cannot determine the ownership percentage of a foreign entity that is an entity owned, directly or indirectly, by one or more listed entities, they must resolve the Red Flag or obtain a license from BIS prior to proceeding with the export, reexport, or transfer (in-country), unless a license exception is available (see Red Flag 29 in supplement no. 3 to part 732). This list is revised and updated on a periodic basis in this supplement by adding new or amended notifications and deleting notifications no longer in effect.
Country | Entity | License requirement | License reviewpolicy | Federal Register citation
AFGHANISTAN | Abdul Satar Ghoura, 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Afghan-German Construction Company, Golaye Park, Shari Naw, Kabul, Afghanistan, and Dasht Qala, Takhar Province, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Assadullah Majed, 42S WD 18476 22167 Kabul, Afghanistan; and A2 Ground Floor, City Computer Plaza, Shar-e-Naw, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Emal Bilal Construction Company (EBCC), a.k.a., the following two aliases:—Imal Bilal Road Construction Company; and—Aimal and Balal Company. Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 44683, 8/1/14.
Emal Bilal Mangal, a.k.a., the following three aliases:—Imal Bilal; and—Aimal Balal; and—Bellal Mangal. Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 44683, 8/1/14.
Fazal Rahim Farid, a.k.a., the following three aliases:—Fazel Rahim Farid;—Farid; and—Engineer Idris. Microrayan 3rd Apt. 45, block #21, Kabul, Afghanistan; and A2 Ground Floor, City Computer Plaza, Shar-e-Naw, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Gulf Gate Sea Cargo LLC, Gulzaad Market Building, 4th Floor, Room 2, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 81 FR 40178, 6/21/16.
Habib ur Rahman, a.k.a., the following two aliases:—Hanif; and—Habib Rahman. Ghazni City, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Haji Khalil Construction Company, Wazir Akbar Khan, Road Number 10, In front of National Bank, District 10, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Hanif Computer Zone (HCZ), Ghazni City, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Heim German Afghan Khalil Company, Wazir Akbar Khan, District 10, Kabul, Afghanistan; and Shahr-e-Now, Kabul, Afghanistan, and Paktiyakoot, Jalalabad Road, District #9, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Ibrahim Haqqani, a.k.a., the following two aliases:—Hajji Sahib; and—Maulawi Haji Ibrahim Haqqani Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Iqra Computer Products, a.k.a., the following two aliases:—Iqra IT solutions; and—Iqra Computer Store. A2 Ground Floor, City Computer Plaza, Shar-e-Naw, Kabul, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Khalil Zadran, a.k.a., the following eight aliases:—Samar Gul Khalil;—Khalil Samar Gul;—Samer Khalil;—Samer Gul Khalil;—Khlil Khalil;—Kalil Khalil;—Khalil Khualil; and—Haji Khalil. Shahreno, Kabul, Afghanistan. (See alternate address in Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Khalil Zadran Company, a.k.a., the following alias:—Khalil Construction. Afghanistan (See alternate address in Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 77 FR 25057, 4/27/12.
Kurshid Ghoura, a.k.a., the following two aliases:—Kurshed Ghoura; and—Kursheed Ghoura. 501, 5th Floor, Amanullah Sancharaki Market Opp Chaman E Huzuri, Kabul, Afghanistan; and Flat No. 41 Block No. 24 Macroyan 3, Kabul, Afghanistan. (See alternate addresses under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Lapcom Computer Stores, A2 Ground Floor, City Computer Plaza, Shar-e-Naw, Kabul, Afghanistan. (See alternate address under Pakistan). | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 76 FR 71869, 11/21/11.
Mohammad Jan Khan Mangal, Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 44683, 8/1/14.
Mohammad Jan Mangal Construction Company (MMCC), Kolola Pushta, Charahi Gul-e-Surkh, Kabul, Afghanistan; and Maidan Sahr, Hetefaq Market, Paktiya, Afghanistan. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 79 FR 56003, 9/18/14.
