Smartcom (Hong Kong) Co., Limited, Sheung Wan, Hong Kong. | For all items subject to the EAR, see §§ 734.9(e) 1 and 744.11 of the EAR 2 | Presumption of denial | 84 FR 22963, 5/21/19. 85 FR 29853, 5/19/20. 85 FR 36720, 6/18/20. 85 FR 51603, 8/20/20. 85 FR 83769, 12/23/20. 87 FR 6026, 2/3/22. 87 FR 55250, 9/9/22.
Smartech Future Limited, a.k.a., the following one alias: —Balloons SMT. 29 Luk Hop Street, Wang Fai Industrial Building, 11/F, Room 8, Hong Kong; and 253-261 Hennessy Road, Easey Commercial Building, Room 1502, Wan Chai, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 89 FR 55035, 7/3/24.
SMIC Advanced Technology R&D (Shanghai) Corporation, a.k.a., the following seven aliases: —SMIC New Technology Research and Development (Shanghai) Corporation; —SMIC New Technology R&D (Shanghai) Corporation; —SMIC Advanced Technology Research & Development (Shanghai) Corporation; —Zhongxin Guoji Jicheng Dianlu Xinjishu Yanfa (Shanghai) Youxian Gongsi; —SMIC Advanced Technology; —SMIC New Technology; and —SMIC New Technology Research & Development. 18 Zhangjiang Road, Pudong New Area, Shanghai, China; and 6th Floor, Building 3, No. 18, Zhangjiang Road, China (Shanghai) Pilot Free Trade Zone Shanghai, Shanghai, 201203 China. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial | 89 FR 96836, 12/5/24.
SMIC Holdings Limited, Building 1, No. 1059 Dangui Road, China (Shanghai) Pilot Free Trade Zone, Shanghai, China. | For all items subject to the EAR (See § 744.11 of the EAR) | See §§ 744.11 and 744.23(d) of the EAR | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
SMIC Hong Kong International Company Limited, a.k.a., the following one alias: —SMIC Hong Kong. Suite 3003, 30th Floor, No. 9 Queen's Road, Central, Hong Kong. | For all items subject to the EAR (See § 744.11 of the EAR) | See §§ 744.11 and 744.23(d) of the EAR | 85 FR 83420, 12/22/20. 85 FR 83769, 12/23/20. 86 FR 12531, 3/4/21. 89 FR 96836, 12/5/24.
SMIC Northern Integrated Circuit Manufacturing (Beijing) Co., Ltd., a.k.a., the following two aliases: —Semiconductor Manufacturing North China (Beijing) Corporation; and —SMIC North. Building 9, No. 18 Wenchang Avenue, Beijing Economic and Technological Development Zone, Beijing, China. | For all items subject to the EAR (See §§ 734.4(a)(9), 734.9(e)(3), and 744.11 of the EAR) 5 | Presumption of denial | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
SMIC Semiconductor Manufacturing (Shanghai) Co., Ltd., a.k.a., the following one alias: —Suzhou Design Center. Room 602, Building 1, No.158 Suya Road, Suzhou Industrial Park, China. | For all items subject to the EAR (See § 744.11 of the EAR) | See §§ 744.11 and 744.23(d) of the EAR | 85 FR 83420, 12/22/20. 89 FR 96836, 12/5/24.
Sophgo Technologies Ltd., a.k.a., the following four aliases: —Beijing Sophgo; —Beijing Suanneng Technology Co., Ltd; —Sophgo; and —SOPHON. 901, 9th Floor, Building 8, No. 8 Kegu 1st Street, Beijing Economic and Technological Development Zone, Yizhuang Group High-end Industrial Zone, Beijing Pilot Free Trade Zone, Beijing, China; and Building 6, Yard 9, Fenghao East Road, Haidian District, Beijing, China. | For all items subject to the EAR (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 90 FR 4622, 1/16/25.
Sophon Technology (Beijing) Co., Ltd., Room 106-2, Floor 1, Building 1, No. 9 Fenghao East Road, Haidian District, Beijing, China. | For all items subject to the EAR (See §§ 734.9(e)(2) and 744.11 of the EAR) 4 | Presumption of denial | 90 FR 4622, 1/16/25.
Southwest Research Institute of Electronics Technology, a.k.a., the following three aliases:—10th Research Institute of China Electronic Technology Group Corp (CETC);—CETC 10th Research Institute; and—Southwest Institute of Electronic Technology (SWIET); No. 6 Yong Xin Street, Chengdu; and No. 90 Babao Street, Chengdu; and 48 Chadianzi Street East, Jinniu District, Chengdu, 610036. | For all items subject to the EAR | See § 744.3(d) of this part | 66 FR 24267, 5/14/01.75 FR 78883, 12/17/10.77 FR 58006, 9/19/12.81 FR 64696, 9/20/16.
Space Star Technology Co., Ltd., a.k.a., the following 12 aliases: —Space star technology co., LTD; —Aerospace Steel Technology Co., Ltd.; —Aerospace Star Technology Co., Ltd.; —Institute 503, Fifth Aerospace Academy; —503 Aerospace Fifth Academy; —503 Institute; —CAST 503; —CASC 5th Academy, 503 Institute; —Spacestar; —SSTC; —Space Star Aero Tech; and —Space Star Aerospace Tech 82 Zhichun Road, Beijing, China; and No. 77, Jinjin Road, Zhongguancun, Zhongguancun, Haidian District, Beijing, China; and Shaanxi Province Xi'an National Civil Aerospace Industry Base Feitian Road Beihang University Beihang University of Science and Technology Park, China; and Mid-Section of Xi'an Aerospace Avenue (Xi'an Satellite Application Base), China; and Building 2, Building 2, Building 2, No. 1666, Chengdu Economic and Technological Development Zone, Chengdu Economic and Technological Development Zone, Sichuan Province, China; and Block A, Building 5, Western Zhigu District, Wu Hing District, Wuhou District, Chengdu City, China; and No. 99, Shenzhou Avenue, High-tech Seven Road, Binhai High-tech Zone, Tianjin, China; and No. 1616, Science and Technology Innovation City, High-tech Industrial Development Zone, Harbin, Heilongjiang Province, China; and Building 21, Building 21, ZTE Software Park, No. 688, Aixi Hubei Road, High-tech Zone, Nanchang City, Jiangxi Province, China; and Aerospace Jiangnan, No. 27-1 Binhu District, Binhu District, Wuxi City, Jiangsu Province, China; and No. 127, Ziqiang Road, Qiaoxiang District, Shijiazhuang City, Hebei Province, China; and 50 Yongding Road, Haidian District, Beijing, China; and No. 18 Zhongguancun East Road, Haidian District, Beijing, China; and No. 39 Jiangjun Road, Jiangning District, Beijing, China; and No. 55 Zhuque Rd., Haidian District, Beijing, China. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
Spacety Co., Ltd., a.k.a., the following three aliases: —Changsha Tianyi Space Science and Technology Research Institute; —Spacety; and —Spacety Luxembourg S.A. 9 Dengzhuang South Rd Beijing, Beijing China; and Room 445, 9th Floor, Block B, No. 18 Zhongguancun Street, Haidian District, Beijing China. (See alternate address under Luxembourg). | For all items subject to the EAR. (See §§ 734.9(g),3 744.21(b), and 746.8(a)(3) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 12171, 2/27/23.
Speed Business Trading (HK) Ltd., Workshop 60 3/F Block A East, Sun Industrial Centre, No. 16 Shing Yip Street, Kowloon, Hong Kong. | For all items subject to the EAR. (See § 744.11 of the EAR) | Presumption of denial | 88 FR 66273, 9/27/23.
STK Electronics (HK) Co., Ltd., a.k.a. the following one alias: —STK Electronics Co., Ltd. Room 1705, Block 4, Phase 2 Clound Park Bantian, Longgang District, Shenzhen City, China; and Room 2338 Guoli Plaza, Shenzhen, Futian District, Zhonghong Road, China; and Room 2607 DingCheng Building, Shenzhen, China; and Workshop 18 9/F Thriving Industrial Building, No. 26-38 Sha Tsui Road, Tsuen Wan NT, Hong Kong; and 7IF Bright, Unit 04, 33 Mong Kok Road, Hong Kong; and Unit 2D, 2nd Floor, Mai Wah Industrial Building, Nos 1/7, Wah sing Street, Kwai Chu Hong Kong; and Workshop 14 9/F, No. 26-38 Sha, Hong Kong; and 50/F Champion Tower, 3 Garden Road, Central, Hong Kong. | For all items subject to the EAR (See §§ 734.9(g),3 746.8(a)(3), and 744.21(b) of the EAR) | Policy of denial for all items subject to the EAR apart from food and medicine designated as EAR99, which will be reviewed on a case-by-case basis. See §§ 746.8(b) and 744.21(e) | 88 FR 23334, 4/17/23.
Stratum FT Limited, a.k.a. the following one alias: —Stratos. Room 517 New City Centre, 2 Lei Yue Mun Road, Kwun Tong, Kowloon, Hong Kong | For all items subject to the EAR (See § 744.11 of the EAR) | Presumption of denial | 90 FR 14035, 3/28/25.
